Data;Fornecedor;NomeComercial;Categoria;LojaEntreposto;CodArtigo;DscArtigo;Ean;VPN;TipoArtigo;Marca;Coleccao;Quant;Valor;Column1
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7101 - suplem. alimentares;L0830 - WLS ÁGUEDA;7942847;ZZZQUIL FORTE SONO 30GOMAS;7492587;-1;Permanente;ZZZQUIL;;6;128,7;WLS ÁGUEDA
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7002 - sistema respiratório;L5124 - WLS MIRANDELA;2997726;VICKS VAPORUB POMADA 100G;5601059001298;-1;Permanente;VICKS;;4;57,12;WLS MIRANDELA
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7001 - dor e febre;L9776 - WLS ÓBIDOS;5182926;GRIPONAL 20 COMP. EFERVESCENTES;5472949;-1;Permanente;GRIPONAL;;17;192,1;WLS ÓBIDOS
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7002 - sistema respiratório;L1418 - WLS CACÉM;2997726;VICKS VAPORUB POMADA 100G;5601059001298;-1;Permanente;VICKS;;3;42,84;WLS CACÉM
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7204 - higiene oral;L0763 - WLS OVAR CNT;8428119;KUKIDENT PRO SEM SABOR 47G;8700216594745;-1;Permanente;KUKIDENT;;2;20,38;WLS OVAR CNT
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7101 - suplem. alimentares;L3622 - WLS LISBOA MARECHAL;7407622;ZZZQUIL MELATONINA 60 GOMAS;7492603;-1;Permanente;ZZZQUIL;;3;85,5;WLS LISBOA MARECHAL
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7104 - orl;L2298 - WLS S MARTINHO;8190364;VICKS TOSSE NATURA CRIANÇAS 140ML;8700216421577;-1;Permanente;VICKS;;1;11,95;WLS S MARTINHO
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7202 - equipamentos;L3016 - WLS VAGOS;6081764;TESTE GRAVIDEZ 6 DIAS CLEARBLUE;8700216570961;-1;Permanente;CLEARBLUE;;4;38,8;WLS VAGOS
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7204 - higiene oral;L9783 - WLS SOBREDA;3580611;FIO SUPER-FLOSS ORAL-B 50 FIOS;8700216539005;-1;Permanente;ORAL-B;;14;76,31;WLS SOBREDA
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7104 - orl;L0855 - WLS T VEDRAS MDL;8190364;VICKS TOSSE NATURA CRIANÇAS 140ML;8700216421577;-1;Permanente;VICKS;;2;23,9;WLS T VEDRAS MDL
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7202 - equipamentos;L0734 - WLS ALHOS VEDROS;4670511;TESTE GRAVIDEZ INDICADOR SEMAN CLEARBLUE;5013965723407;-1;Permanente;CLEARBLUE;;21;331,8;WLS ALHOS VEDROS
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7202 - equipamentos;L8464 - WLS BUARCOS;6081764;TESTE GRAVIDEZ 6 DIAS CLEARBLUE;8700216570961;-1;Permanente;CLEARBLUE;;2;18,43;WLS BUARCOS
04/2026;78532;PROCTER&GAMBLE PORTUGAL;7503 - higiene do bebé;L3160 - WLS BOUCINHAS;6910251;DODOT PRO SENSITIVE T0 38UN;8001841013800;-1;Permanente;DODOT;;1;12,98;WLS BOUCINHAS
