Store_Name,Product_Code,Product_Name,Brand,Quantity,Value_Sales_EUR,Source_File,Status
WLS CHARNECA CAPARIC,7407620,ZZZQUIL MELATONINA 30 GOMAS,Zzzquil,5,85.65,portalSOnae,MISSING_IN_DATABRIDGE
WLS MARCO CANAVESES,7407620,ZZZQUIL MELATONINA 30 GOMAS,Zzzquil,2,34.26,portalSOnae,MISSING_IN_DATABRIDGE
WLS AVANCA,6697571,KUKIDENT PRO PLUS FIRME MASTIG S/SAB 57G,Kukident,3,50.37,portalSOnae,MISSING_IN_DATABRIDGE
WLS SANTIAGO CACÉM,2997718,VICKS VAPORUB POMADA 50G,Vicks,7,62.86,portalSOnae,MISSING_IN_DATABRIDGE
WLS CABECEIRAS BASTO,5182926,GRIPONAL 20 COMP. EFERVESCENTES,Griponal,5,55.37,portalSOnae,MISSING_IN_DATABRIDGE
WLS 5 OUTUBRO,2997726,VICKS VAPORUB POMADA 100G,Vicks,2,28.56,portalSOnae,MISSING_IN_DATABRIDGE
WLS VIANA DO CASTELO,3580611,FIO SUPER-FLOSS ORAL-B 50 FIOS,Oral-B,6,32.94,portalSOnae,MISSING_IN_DATABRIDGE
WLS CALDAS TAIPAS,8375717,KUKIDENT PRO SEM SABOR 70G,Kukident,2,29.12,portalSOnae,MISSING_IN_DATABRIDGE
WLS TRINDADE,5218279,KUKIDENT PRO PLUS FIRME MASTIG S/SAB 40G,Kukident,1,11.99,portalSOnae,MISSING_IN_DATABRIDGE
WLS T VEDRAS CBD,8399872,ZZZQUIL FORTE 60 GOMAS,Zzzquil,3,89.97,portalSOnae,MISSING_IN_DATABRIDGE
WLS VASCO DA GAMA,7407622,ZZZQUIL MELATONINA 60 GOMAS,Zzzquil,12,342,portalSOnae,MISSING_IN_DATABRIDGE
CBD AV BOAVISTA,5182926,GRIPONAL 20 COMP. EFERVESCENTES,Griponal,1,11.3,portalSOnae,MISSING_IN_DATABRIDGE
WLS FARO MONTENEGRO,5218279,KUKIDENT PRO PLUS FIRME MASTIG S/SAB 40G,Kukident,3,35.97,portalSOnae,MISSING_IN_DATABRIDGE
WLS CASTRO DAIRE,8428119,KUKIDENT PRO SEM SABOR 47G,Kukident,4,40.76,portalSOnae,MISSING_IN_DATABRIDGE
WLS MAIA SHOPPING,2999157,ILVICO N 20 CP DOR E FEBRE,Ilvico,47,422.53,portalSOnae,MISSING_IN_DATABRIDGE
WLS TOMAR,8375717,KUKIDENT PRO SEM SABOR 70G,Kukident,6,87.36,portalSOnae,MISSING_IN_DATABRIDGE
WLS ÉVORA,7528978,KUKIDENT PRO ULTIMATE SABOR FRESCO 40G,Kukident,3,40.47,portalSOnae,MISSING_IN_DATABRIDGE
WLS MONTEMOR,5218279,KUKIDENT PRO PLUS FIRME MASTIG S/SAB 40G,Kukident,3,35.97,portalSOnae,MISSING_IN_DATABRIDGE
WLS MOSCAVIDE,6394062,BABYRUB 50 GR VICKS,Vicks,1,8.36,portalSOnae,MISSING_IN_DATABRIDGE
WLS COIMBRA EIRAS,5182926,GRIPONAL 20 COMP. EFERVESCENTES,Griponal,13,146.9,portalSOnae,MISSING_IN_DATABRIDGE
WLS COIMBRA SHOPPING,6081764,TESTE GRAVIDEZ 6 DIAS CLEARBLUE,Clearblue,25,242.5,portalSOnae,MISSING_IN_DATABRIDGE
WLS PALMELA,7925014,ESCOVA ELÉTRICA VITALITY PRO AZUL ORAL-B,Oral-B,1,33.99,portalSOnae,MISSING_IN_DATABRIDGE
WLS ÁGUEDA,8428422,KUKIDENT PRO FIXAÇÃO TODO DIA FRESC 47G,Kukident,1,10.19,portalSOnae,MISSING_IN_DATABRIDGE
WLS MONTELAVAR,7528978,KUKIDENT PRO ULTIMATE SABOR FRESCO 40G,Kukident,12,161.88,portalSOnae,MISSING_IN_DATABRIDGE
WLS ALVERCA,8016260,ZZZQUIL SPRAY ORAL SONO 30ML,Zzzquil,1,19.57,portalSOnae,MISSING_IN_DATABRIDGE
WLS BARCELOS MDL,7673167,ZZZQUILL MANGA BANANA 30 GOMAS,Zzzquil,1,18.03,portalSOnae,MISSING_IN_DATABRIDGE
WLS FORUM MONTIJO,2997715,VICKS INALADOR 1G,Vicks,13,64.35,portalSOnae,MISSING_IN_DATABRIDGE
WLS AVEIRO ESTAÇAO,7407620,ZZZQUIL MELATONINA 30 GOMAS,Zzzquil,3,51.39,portalSOnae,MISSING_IN_DATABRIDGE
WLS COVA DA PIEDADE,6780529,VICKS SINEX RESPIR 10ML,Vicks,1,9,portalSOnae,MISSING_IN_DATABRIDGE
WLS CABECEIRAS BASTO,8094748,ELAS 50G,Elas,2,17.58,portalSOnae,MISSING_IN_DATABRIDGE
WLS BEJA CNT,2999157,ILVICO N 20 CP DOR E FEBRE,Ilvico,57,510.63,portalSOnae,MISSING_IN_DATABRIDGE
